"Seq,cal","Seq,all",L,L/Hs,a,"a1,mea","a1,mean","a1,cal","a1/Hs,cal","a1,all","a1/Hs,all",a1/AD50,a1/AD90,a1/AD95,"hu,mea","hu,cal",qs,ys,ls,ys/Hs,ls/Hs
0.053302018,0.056,1.5,31.88038105,0.12,0.036,,,0,0.036,0.765129145,2.538607997,1.588912919,1.588912919,,,0,0.1077,0.26,2.289011359,5.525932715
0.030479173,0.036,1.5,20.6407445,0.0675,0.0135,,,0,0.0135,0.1857667,0.951977999,0.595842345,0.595842345,,,0,0.0776,0.4,1.067814515,5.504198532
0.022660222,0.0315,1.5,16.39060572,0.0675,0.02025,,,0,0.02025,0.221273177,1.427966998,0.893763517,0.893763517,,,0,0.126,0.625,1.376810881,6.82941905
0.020191224,0.0222,1.5,14.98397924,0.0675,0.0342,,,0,0.0342,0.341634727,2.411677597,1.509467273,1.509467273,,,0,0.1631,0.7,1.629258009,6.992523644
0.026114235,0.0339,1.5,18.30274974,0.0675,0.01665,,,0,0.01665,0.203160522,1.174106198,0.734872225,0.734872225,,,0,0.1256,0.575,1.532550245,7.016054068
0.018137205,0.018,1.5,13.7844271,0.0675,0.0405,,,0,0.0405,0.372179532,2.855933996,1.787527034,1.787527034,,,0,0.1674,0.775,1.538342065,7.121954003
0.019571527,0.0265,1.5,14.62505982,0.093,0.05325,,,0,0.05325,0.519189624,3.755024328,2.350267026,2.350267026,,,0,0.2402,0.675,2.341959579,6.581276919
0.019571527,0.0185,1.5,14.62505982,0.093,0.06525,,,0,0.06525,0.636190102,4.601226994,2.879904665,2.879904665,,,0,0.2365,0.695,2.305884432,6.776277717
0.028582355,0.0397,1.5,19.63456732,0.093,0.03345,,,0,0.03345,0.437850851,2.35878993,1.47636492,1.47636492,,,0,0.1687,0.51,2.208234338,6.675752888
0.028582355,0.0293,1.5,19.63456732,0.093,0.04905,,,0,0.04905,0.642050351,3.458853395,2.164893852,2.164893852,,,0,0.1699,0.525,2.223941992,6.872098561
0.028582355,0.0237,1.5,19.63456732,0.093,0.05745,,,0,0.05745,0.752003928,4.051195261,2.535640199,2.535640199,,,0,0.2065,0.6,2.703025434,7.853826927
0.028582355,0.0149,1.5,19.63456732,0.093,0.07065,,,0,0.07065,0.924788121,4.982018193,3.118241603,3.118241603,,,0,0.2007,0.6,2.627105107,7.853826927
0.023606537,0.0223,1.5,16.92055718,0.12,0.08655,,,0,0.08655,0.976316149,6.103236725,3.820011475,3.820011475,,,0,0.2433,0.505,2.744514375,5.696587585
0.023606537,0.0183,1.5,16.92055718,0.12,0.09255,,,0,0.09255,1.043998378,6.526338058,4.084830295,4.084830295,,,0,0.25,0.525,2.820092864,5.922195014
